Date,Open,High,Low,Close,Adj Close,Volume,log_returns,cumulative_returns,cumulative_returns_scaled,diff_log_returns,diff_log_returns_scaled,log_returns_scaled,obv
1964-01-03,0.0,76.04000091552734,75.08999633789062,75.5,75.5,5550000.0,0.014139191683962197,1.801609139834118,-0.5665727771944604,0.011987447163643992,0.39745523224284285,0.6033351085695704,458150000.0
1964-01-10,0.0,76.66999816894531,75.73999786376953,76.23999786376953,76.23999786376953,5260000.0,0.00975357507115532,1.8113627149052733,-0.5610581235049135,-0.004385616612806877,-0.14530998561107478,0.3958451065011737,463410000.0
1964-01-17,0.0,77.08999633789062,76.0199966430664,76.55999755859375,76.55999755859375,5600000.0,0.004188483929767688,1.815551198835041,-0.5586899622729145,-0.005565091141387632,-0.18440943322814435,0.13255242171304626,469010000.0
1964-01-24,0.0,77.55999755859375,76.58000183105469,77.11000061035156,77.11000061035156,5080000.0,0.00715826650430323,1.8227094653393443,-0.5546426913491012,0.002969782574535542,0.09852066800565618,0.27305722341724464,474090000.0
1964-01-31,0.0,77.37000274658203,76.38999938964844,77.04000091552734,77.04000091552734,4000000.0,-0.000908202386543089,1.8218012629528013,-0.5551561873344467,-0.008066468890846319,-0.26732982355072954,-0.10857933869326643,470090000.0
1964-02-07,0.0,77.51000213623047,76.66000366210938,77.18000030517578,77.18000030517578,4710000.0,0.0018155806898890782,1.8236168436426905,-0.5541296612989034,0.002723783076432167,0.09036581238406673,0.020286863270763174,474800000.0
1964-02-14,0.0,77.81999969482422,77.0199966430664,77.4800033569336,77.4800033569336,4360000.0,0.0038795218016961903,1.8274963654443868,-0.5519361866948402,0.002063941111807112,0.06849212566490906,0.11793496691651724,479160000.0
1964-02-21,0.0,77.98999786376953,77.16000366210938,77.62000274658203,77.62000274658203,4690000.0,0.0018052794604907587,1.8293016449048776,-0.5509154849557517,-0.0020742423412054315,-0.06868818915340291,0.01979949688699796,483850000.0
1964-02-28,0.0,78.05999755859375,77.19999694824219,77.80000305175781,77.80000305175781,4980000.0,0.002316309084285833,1.8316179539891635,-0.5496058479924227,0.0005110296237950743,0.017013284953924533,0.043977063477888025,488830000.0
1964-03-06,0.0,78.5999984741211,77.8499984741211,78.30999755859375,78.30999755859375,4790000.0,0.006533807176647044,1.8381517611658105,-0.5459116452420852,0.004217498092361211,0.1398822967208874,0.24351312993478103,493620000.0
